Id, Name, Grade_math, Grade_cs
433,an,9.3,122.1
434,af,31.8,40
435,ek,-20.4,152.4
436,db,-27.5,70.5
437,ig,12.9,144.9
438,ak,-47.2,48.6
439,ni,-9.9,127.7
440,cj,14.7,12.5
441,jd,139.1,109.7
442,kd,-71.8,-38.7
443,ca,84.2,73.7
444,hd,7.6,95.7
445,fd,118.8,-48.6
446,hh,-5,35.2
447,ai,-0.5,93.5
448,ea,16.5,186.5
449,fb,11.9,26
450,ne,-124.4,65.5
451,ag,54.6,23.8
452,ba,140.7,96.2
453,ka,-13.2,-65.1
454,dl,6,22.8
455,bg,-6.1,-92.2
456,fb,-64.7,50.5
457,hd,-44.4,21.3
458,jh,87.7,154.5
459,ic,-15.1,6.3
460,el,47.8,-42.7
461,gm,2.6,48.6
462,de,7.4,15.1
463,mc,-21.9,205.3
464,ff,16.1,83.1
465,kd,193.6,2.1
466,bn,4.1,144.9
467,ne,242.3,67.3
468,ii,114.3,198.3
469,hk,39,0.9
470,ff,115,102.4
471,nh,63.3,85.3
472,ne,84.2,57.7
473,gj,4,17.2
474,jf,-20,19
475,gn,-2.7,51.9
476,dk,95.6,71.5
477,fd,18.7,25.5
478,in,60.7,-30.9
479,lc,20.9,165.3
480,nj,124,160.3
481,mh,265.2,-223.3
482,an,-15.5,-117
483,nl,-16.2,-43.8
484,eh,14.6,19.4
485,ik,14.8,30.8
486,hj,-5.8,91.2
487,ec,60.3,1.7
488,jj,34.9,-202.8
489,gn,77.6,0.4
490,af,89.7,195.4
491,kl,-48.3,6.5
492,fk,43.3,228.7
493,bn,-29.8,94.3
494,ma,92.4,29
495,hm,18.6,22.2
496,cl,162.5,217.8
497,hn,-60.7,-62.1
498,cm,243.9,203.9
499,bc,39,111.2
500,cj,-42.7,52.8
501,cc,-16.6,93.6
502,eg,16.1,52.5
503,hg,72.6,-0.5
504,kj,14.5,141.1
505,lk,-32.6,19.2
506,ln,11,-92.4
507,hb,-86.7,74
508,dh,74.2,126.4
509,lc,0,66.5
510,bi,11.8,32
511,ni,43.6,-36
512,cc,-89.4,88.9
513,ha,-13.4,89.4
514,kc,63,-75.7
515,em,91,20.6
516,kk,52.8,10.8
517,mi,5.7,128.8
518,gk,22.6,90
519,mn,-27.4,59.2
520,cj,46.8,36.9
521,eh,10.3,-4.9
522,hd,-33.2,81.5
523,lk,1.1,61.8
524,gl,19.5,45
525,kl,93.9,53.7
526,ll,-34.3,-63.1
527,hc,-94.1,5.4
528,il,-75.4,31.7
529,gg,-18.9,0.2
530,fg,6.2,7.7
531,ic,144.1,94.7
532,am,79,361.8
533,cb,59.5,35.1
534,kg,229.8,9.3
535,fa,-28,95.6
536,fh,76.8,122.6
537,al,-59,65.5
538,ef,16.1,2.5
539,ck,-10.9,197.9
540,hf,-17.6,94.8
541,lg,10.8,13.8
542,ji,20.9,189.7
543,ib,55.9,111.2
544,dm,-3,-75.4
545,bf,-22.3,25.4
546,hh,42.2,91.5
547,jl,51.5,89.7
548,fg,-18.9,-54.1
549,jd,9.8,-77.6
550,la,101.8,75.5
551,db,-184.1,14.6
552,cj,229,45.7
553,cm,19.1,15.7
554,jc,7.6,40.7
555,gk,6.9,121.1
556,ni,-38.6,-51.1
557,gf,14.3,-123.8
558,ej,68.4,201.5
559,kj,16.1,44.8
560,hh,-4.6,95.2
561,dh,82.4,-179.7
562,lf,76.1,12.5
563,aa,59.6,2.1
564,dn,13.1,86.2
565,hj,28.2,49.7
566,dn,-31.1,68.1
567,kh,-31.9,232.7
568,am,-88.5,42.9
569,if,17.2,38.9
570,ce,-11.1,38
571,le,-225.5,34.8
572,nn,70.5,251.8
573,fl,7.6,79.5
574,hh,8.7,46.2
575,mc,-57.1,207.5
576,ca,64.7,244.2
577,cb,89.4,10.1
578,be,95.9,73.6
579,lf,99.2,81.9
580,cn,51.5,56.7
581,em,177.8,67.5
582,li,97.5,33.5
583,ac,10,96.6
584,ia,-74.1,176.8
585,bj,-50.7,-17.5
586,nf,75.5,62.6
587,dj,186,166.2
588,nh,15.6,31.4
589,be,52.6,162.4
590,me,-1.6,32.8
591,im,-7.8,-128.2
592,ib,227.7,85.4
593,bi,31.1,80.3
594,ec,-72.8,94.2
595,al,32.1,35.5
596,hb,-36.5,-2.2
597,en,16.5,-3.7
598,bn,0.2,189.6
599,kb,261,23.7
600,jf,24.2,91.9
601,ba,-2.3,-68.4
602,bb,225.7,69.9
603,bd,39.8,-71.1
604,nn,-9.5,1.7
605,dn,13.5,83.9
606,ik,59.3,21.7
607,kb,-3.8,2.2
608,bf,125.5,59.1
609,fk,43.7,26.3
610,nf,1.6,10.3
611,kf,-10.3,54.9
612,ef,9.6,19.6
613,fj,-25.9,-30.1
614,nd,-3.4,10.9
615,mk,35.3,7.1
616,hn,21.4,237
617,bm,55.2,222.5
618,lm,-54.5,170.6
619,hc,18.4,48.6
620,mh,-52.6,-116.4
621,jj,-7.2,1.5
622,ii,224.4,-57.3
623,jd,62.2,-35.3
624,km,36.4,91.3
625,nd,4.2,115.1
626,en,-23.5,79.2
627,bb,-11.9,-119.1
628,hj,1.6,80.9
629,nd,164.3,179
630,cb,18.1,-14.4
631,ma,27.4,67.1
632,ae,8,-124.9
633,fk,56.8,27.3
634,ai,185.8,38.6
635,en,173.5,223.4
636,ia,-119.3,93.3
637,ab,113.7,57.6
638,gk,38.7,85.4
639,ej,5,70.9
640,hg,7.4,16.5
641,fk,-39.1,79.8
642,gk,65.8,91.4
643,im,29.1,49.7
644,ii,-19.8,-56.3
645,lk,35.4,-68.9
646,ha,50.6,-30
647,ic,32.3,108.8
648,mc,-20.1,73.2
649,hg,-33.8,87
650,dn,149.9,101.8
651,aa,67.9,178.6
652,ii,228.1,142
653,ii,-23,45
654,gn,-24.9,87.4
655,ib,-13.2,-50.7
656,eb,-48.9,-257.8
657,ak,10,44.1
658,mj,136.7,99
659,dg,-2,-105.7
660,hl,10.2,6.3
661,af,-11.7,-27.4
662,jh,-4.9,46.4
663,hi,-120.5,71.5
664,ik,52.3,38.4
665,bn,148.1,204.2
666,lk,18.1,68
667,ng,-5,91.8
668,ji,37.4,-9.8
669,dj,-42.4,17.5
670,bh,163.8,-4.2
671,gd,18.7,54.4
672,ik,-114,65.3
673,ml,321.1,144.9
674,de,328.6,72.5
675,la,-40.7,35.4
676,cj,6.8,-150
677,ga,0.1,5.1
678,ga,258.3,200.6
679,hj,-46.3,60.5
680,bl,-46.6,-108.3
681,db,-103.3,319
682,mm,61.1,19.1
683,nf,-9.9,50.9
684,hf,56.2,-38.4
685,mb,-28.1,49.9
686,gg,80.5,177.4
687,lk,-0.6,25.9
688,mf,143.4,170.8
689,id,326.4,-18.6
690,ee,-3.6,-17.4
691,fh,-12.9,-133.6
692,ce,108,-10
693,en,21.5,95.7
694,da,15.6,-130
695,ka,122.7,60.1
696,ck,60.4,48
697,ni,254.2,52.8
698,nd,116.3,149.9
699,ne,-17.5,28.8
700,lk,-18.9,17.2
701,jl,16.7,-72.3
702,hh,-29.5,4.2
703,aj,-83,50.4
704,fj,9.6,49.3
705,if,6.1,-38
706,ji,-59.6,36.6
707,kl,160.1,-71.8
708,eh,-3.5,-65.8
709,ea,72.4,13.2
710,gn,63.7,101.9
711,ni,51.8,-32.5
712,lc,-36.2,36.8
713,ce,-6.4,59.4
714,ni,208.7,208.2
715,if,-26.9,70.3
716,ic,81.3,240.8
717,ml,62.8,57.7
718,ih,-2,17.3
719,ch,8.3,98.1
720,kb,19.7,30.4
721,hj,20.4,-26.9
722,le,-43.1,32.6
723,ah,56.4,-15.3
724,mi,28.5,26.3
725,ea,65.6,-15
726,aa,-3.6,-23
727,ib,28.5,-20.4
728,ab,-3.8,22.1
729,dg,121.7,194.5
730,ia,96.2,20.5
731,ib,46.7,2.6
732,fl,118.6,347.4
733,nl,90.6,-82
734,ij,0.7,52.6
735,nl,120.5,135.7
736,el,14.5,13.8
737,lg,-59,26
738,jn,-39.1,144.6
739,nf,-13.5,10.1
740,lc,-25.5,88
741,hd,-60.3,62.2
742,mg,117.6,74.3
743,md,-54.1,42.4
744,kc,-22.2,3.7
745,bh,12.3,93.4
746,el,14.1,65.5
747,ae,-103.6,68.9
748,je,-121.9,34.2
749,al,-37.3,-35.2
750,ab,96.7,136.1
751,gi,98.9,-102.2
752,kg,33.3,85.3
753,mb,29.4,-29.5
754,mh,-21,38.6
755,nh,68.3,5.6
756,aa,162.4,69.9
757,en,26.5,84.3
758,em,68.8,12.5
759,hc,202.6,59.9
760,hl,59.9,29.8
761,cg,79.7,47
762,lm,130.3,125.1
763,ih,315.5,74.5
764,hb,2.6,-26
765,kk,52.7,38.3
766,ek,-16.7,-21.4
767,kh,121.1,12.4
768,fn,0.6,35.6
769,dd,-37.9,13.1
770,nc,52.7,65.6
771,jn,-67.6,1.5
772,ab,-3.9,-109.7
773,hg,202.2,148
774,dl,-71.8,-1.7
775,jh,348.7,-61.9
776,nj,-3.4,97.6
777,dk,-83.6,-61.6
778,al,25,14.6
779,gi,-15.9,-92
780,ln,-65.7,74.3
781,ma,-9.6,62.4
782,me,-46.1,-103.1
783,fd,74.3,136.3
784,mn,-45.2,35.7
785,ek,-61.6,-71.4
786,ae,1.3,269.7
787,hd,212.2,-56.3
788,le,70.3,-0.4
789,mk,-2.2,-25.8
790,nl,-83.6,-114.8
791,eb,86.6,-150.4
792,dc,47,37.3
793,hj,3.5,-22.8
794,ak,-91.5,79.3
795,hh,-7.1,-50.5
796,dh,44.5,99.3
797,hb,3.1,54.6
798,bj,-2.3,59.8
799,cg,-34.8,8
800,kd,-10.4,96.7
801,fc,-27.9,96.1
802,cm,15.9,-58.7
803,gj,162,7.5
804,dd,-1.9,22.3
805,bh,71.2,45.4
806,bn,-101.5,41.7
807,jh,-4,65.1
808,nb,49.4,1.3
809,jd,96.5,11.7
810,cc,90.9,-86.1
811,gj,216.2,98.9
812,cf,-13.1,165.9
813,ke,4.2,44.8
814,lj,-27.6,-125.2
815,bi,100.7,59.1
816,de,-37.8,62.2
817,ke,7.4,73.8
818,kj,-16.6,74.9
819,hh,270,123.6
820,ef,62.8,72.2
821,ka,50.9,41.7
822,cc,59.8,78.4
823,ce,-122.2,93.2
824,lb,77.8,81.1
825,bl,28.7,30.8
826,jc,-62.6,97.9
827,jb,-15.6,45.5
828,ej,-24.7,40.8
829,hn,211.8,-63.9
830,fd,6.4,9.6
831,dl,-19,4.5
832,jd,-6.2,19.2
833,na,-43,96.8
834,ic,-8.9,-105.6
835,nj,-27.7,84
836,bf,-7.9,24.1
837,ie,29.2,184.5
838,cf,-10.9,-6.6
839,hb,-35.5,-33.2
840,cn,-29.4,12.4
841,ac,-32.1,-140.4
842,cm,-51.5,-90.9
843,mn,-142.7,143.8
844,hj,-25.6,16.3
845,am,9,64
846,fb,7.5,72.3
847,hj,-18.9,-88.7
848,bg,74.2,-9.7
849,dj,-49.3,-88.3
850,gc,5.6,5.3
851,jd,33.6,24.4
852,fi,75.9,186.6
853,kk,28.3,-39.2
854,gi,2.9,94.3
855,nl,141.6,333.9
856,km,132.1,18.9
857,dn,-39.6,-70.5
858,al,47.2,40.8
859,lk,-1.6,66.9
860,jd,64.1,-19.5
861,bi,127.7,-57.1
862,da,-29.2,45.1
863,ma,304.4,-36.9
864,gh,29.1,108.8
865,ce,-2.7,28.7
866,hc,-10.4,56.6
867,ib,43.8,44.7
868,nj,-4.7,70.7
869,ng,-0.2,108.8
870,ee,-125.6,-0.5
871,kk,41.5,16.1
872,nc,-8.6,86.8
873,mn,77.6,133.4
874,kb,-1.6,97.4
875,hc,96.3,48.5
876,fl,65.3,79.4
877,ll,141,89.8
878,mj,-2.9,41.5
879,nj,0.5,32.4
880,fi,-66.3,20.3
881,nk,85.5,67.1
882,nd,7.8,-4.3
883,jb,-21.4,99.5
884,ej,162.8,39
885,fi,21.2,-96.8
886,ck,25.8,83.4
887,bc,-1.8,-123.3
888,li,78.4,-114.6
889,nh,-46.1,62.3
890,dc,-34.3,1.7
891,kn,-1.7,14.4
892,hn,20.3,54.8
893,cn,119,155.6
894,kj,38.9,87.9
895,gk,2.4,64
896,ng,0,44.9
897,ke,-79.9,164.3
898,mc,-4,72.9
899,kc,28.1,37.2
900,hj,67.7,97.1
901,af,-77.8,-72.7
902,ba,-20.7,108.5
903,gb,-50.5,-32
904,kc,-143.3,39.5
905,nj,-113.1,156.5
906,bc,168.2,-147.1
907,nf,0.3,33.6
908,da,91.2,128.4
909,kn,-0,54.1
910,gk,87.3,116.1
911,im,170.7,89.8
912,mj,14.1,77.4
913,ke,-3,36.3
914,fk,195.6,-42.4
915,kl,16.5,64.9
916,gn,-18.9,4.6
917,ee,30.2,101.7
918,dh,154.9,120.1
919,li,38.2,13
920,ee,-13.1,57.1
921,le,-117.1,97
922,nj,71.8,126.5
923,ac,-2.5,-15.9
924,gi,-6.6,7
925,ih,-21.5,-33.4
926,nh,-60.1,76.6
927,ha,0.3,177.9
928,nf,-34,34.4
929,mj,-134.5,95.1
930,dm,33.1,18
931,fc,2.3,66.3
932,fh,-91.9,-71.9
933,mk,173.5,78.5
934,dl,74.5,74.7
935,cm,5.7,4.1
936,df,6.5,14.4
937,hk,131.2,92.6
938,ga,129.9,161.4
939,al,82.8,113.5
940,gk,-61.4,60.8
941,jk,71.3,206.3
942,ae,164.4,2.2
943,ig,-78.6,243
944,ke,1.2,35
945,gd,2.3,24.9
946,kf,1.9,15.9
947,el,-23.2,37.8
948,kb,-1.2,85.7
949,ih,-92.9,-118
950,ee,-201.7,45.8
951,cl,-6.5,13.6
952,ca,-0.3,55.5
953,bj,51.8,-0.9
954,mf,11.4,177.7
955,ak,136.7,-101.1
956,mj,-63.2,39.4
957,bg,-51.7,107.4
958,cb,-82.4,62.6
959,dk,33.1,269.2
960,db,153.3,116.4
961,gb,28.5,13.8
962,hb,10.9,-0.8
963,ah,-54.8,185.1
964,cc,65.5,79.3
965,nk,-83.2,-26.4
966,hf,-56.8,48.9
967,ed,165.7,196.4
968,gi,-22.7,-48.6
969,ed,-11.4,-45.1
970,dn,-0,19.9
971,lf,89.5,57
972,me,1.6,80.6
973,fa,90.6,-80.2
974,hc,-4.5,7.4
975,fn,-152,6.3
976,bl,-40.4,111.2
977,if,327.6,-49.3
978,fk,-1.2,19.2
979,fa,183.3,-77.7
980,bh,42.7,73.8
981,hg,-43.7,149.8
982,gd,49.6,-181.9
983,bl,3.3,83.9
984,gk,148,135.1
985,an,164.8,271.1
986,ah,3.5,21.7
987,je,22.5,-27
988,jf,93.3,20.2
989,km,67.1,175.3
990,ng,104.9,59.9
991,kn,-2.9,-95.7
992,hb,29.3,73.3
993,ga,185.5,255.1
994,dg,-12.9,48
995,db,217.1,160.3
996,cn,107.1,-19.7
997,dj,83.5,187.3
998,fa,6.5,17
999,ej,65.2,18.1
1000,ba,1.9,-49.6
1001,cb,45.6,196
1002,gg,112.8,182.4
1003,la,-18.4,-21.3
1004,em,43.6,28.4
1005,cj,271.8,115.1
1006,ha,-9.8,65.6
1007,ck,58.4,33.8
1008,if,-3.6,8.5
1009,kb,74.4,33.2
1010,fe,0.2,97.1
1011,al,192.7,142.4
1012,ek,19.2,-5.6
1013,hd,10.3,17.3
1014,ha,-1.3,89.5
1015,ea,-12,45.2
1016,hj,-85.1,28.3
1017,fg,246,165.4
1018,fc,101.5,54
1019,ej,55,204
1020,mk,31.8,36.2
1021,jn,36.9,46
1022,mj,92.9,239.6
1023,gc,-69.3,43.6
1024,nh,10.6,-33.4
1025,fh,47.4,50.8
1026,dj,-1.5,28.7
1027,cn,-17.4,63.9
1028,dh,361.8,154.8
1029,mn,35,37.9
1030,dj,100.9,227.4
1031,gg,200.7,16.4
1032,gg,12.1,5.2
1033,fi,-36.7,79.7
1034,kj,142.5,-19
1035,jf,-33.4,86.8
1036,bi,28.3,-9.9
1037,ak,25.4,51.1
1038,ib,5.2,27.2
1039,nd,84,-104.5
1040,nb,96.6,31.1
1041,kl,-5.8,13.4
1042,kh,2.4,-100.7
1043,ll,158.8,150.1
1044,jh,91.2,-90.5
1045,gk,-12.9,46.5
1046,in,-136.5,-20.3
1047,ha,0.4,-40.4
1048,eh,-23.1,39.9
1049,am,109.9,35.2
1050,fe,-41.4,-45.2
1051,ig,-3.3,-34.9
1052,fb,7.2,37.8
1053,gc,165,-63.1
1054,ce,-15.3,-94.7
1055,bk,270.3,138.6
1056,hg,-24.4,30.6
1057,nn,49.9,4.4
1058,bj,169.6,-58.7
1059,ji,1.2,21.5
1060,gc,139.5,54.6
1061,ac,-43.8,2.3
1062,gc,22.9,69.6
