Id, Name, Gender, Grade_math, Grade_cs
71,ij,F,9.3,3.5
72,ab,M,4.673953,83.9
73,kh,M,1.2,79.2
74,ff,F,57.9,47.2
75,kk,F,6.0,2.7
76,ia,F,2.9,0.6
77,dc,F,26.8,13.3
78,ib,F,5.2,3.5
79,nj,M,23.3,15.6
80,ik,F,13.1,6.8
81,cj,M,75.3,31.194218
82,ml,M,6.2,54.1
83,nj,F,56.2,23.8
84,fa,M,3.5,76.8
85,lh,M,0.7,63.8
86,fk,M,28.6,75.1
87,fc,F,19.7,11.3
88,ck,F,2.6,0.4
89,gm,F,9.3,2.3
90,ak,F,8.4,6.2
91,ea,M,2.9,56.2
92,ma,M,60.8,19.899601
93,ga,F,12.6,12.0
94,lj,M,58.9,19.730389
95,nl,M,34.8,95.7
96,fa,F,30.0,26.9
97,il,F,5.0,3.5
98,bj,F,28.4,22.0
99,jl,F,12.7,5.8
100,lm,M,40.4,38.4
101,mh,F,63.9,55.7
102,na,F,35.1,13.7
103,cg,F,48.4,27.2
104,ec,F,24.9,11.9
105,mh,M,3.4,33.5
106,ak,F,50.0,4.5
107,bg,F,15.0,12.0
108,hn,M,55.3,86.8
109,fc,F,24.0,9.9
110,fn,M,15.472042,74.8
111,dl,F,6.7,5.5
112,ah,M,3.6,17.1
113,gk,F,8.4,3.2
114,me,M,29.765656,9.072063
115,kh,F,16.5,13.9
116,ie,M,24.3,36.9
117,ah,F,60.3,42.2
118,ja,F,3.8,0.5
119,gl,M,34.2,27.8
120,dd,M,66.1,79.6
121,bh,F,59.9,40.7
122,jk,F,4.8,0.7
123,hi,M,26.7,27.6
124,di,F,9.7,1.2
125,lg,M,8.8,31.1
126,an,M,1.4,0.1
127,nn,F,12.4,4.4
128,le,F,7.7,1.2
129,cf,F,6.5,6.3
130,ia,F,0.6,0.6
131,ka,M,96.1,55.0
132,ja,F,60.9,60.6
133,kj,F,16.5,0.6
134,mn,M,6.1,47.0
135,gd,M,69.4425,72.6
136,lc,F,26.6,9.3
137,ag,F,0.3,0.1
138,bm,F,47.1,29.9
139,hf,F,21.4,14.9
140,me,M,24.8,72.0
141,mj,M,27.0,8.7
142,lc,F,5.9,2.8
143,ik,F,8.1,5.7
144,jj,M,49.1,39.3
145,bd,F,30.2,10.6
146,ff,M,0.4,29.3
147,bh,F,26.0,15.4
148,bm,F,14.8,1.0
149,kn,F,6.9,6.2
150,hn,F,15.6,12.2
151,md,M,64.04684,33.9
152,ih,F,24.7,2.9
153,ab,F,11.3,1.2
154,il,M,29.8,48.8
155,bi,F,10.5,8.1
156,ma,M,83.8,81.68331
157,nb,F,8.7,0.6
158,me,M,22.6,87.8
159,gh,F,25.3,10.6
160,bg,M,3.8,11.917067
161,mn,F,47.8,22.3
162,ke,M,11.8,4.7
163,hk,F,26.5,17.5
164,ie,M,86.9,39.79211
165,an,F,4.8,1.9
166,fb,M,18.1,98.7
167,le,F,42.0,24.9
168,fa,F,39.7,26.7
169,dd,M,27.0,13.9
170,ln,M,5.3,65.7
171,fm,M,53.1,47.2
172,bb,M,14.3,21.359358
173,ke,M,33.539787,86.5
174,ha,F,2.0,0.1
175,nd,M,20.7,12.7
176,ia,F,6.0,2.2
177,gi,M,41.2,7.2
178,ha,M,0.7,8.1
179,cm,F,39.9,2.2
180,df,F,7.8,3.4
181,ag,M,5.4,17.3
182,hg,F,54.1,15.9
183,ja,M,21.9,35.9
184,nb,M,3.4,37.3
185,nh,F,25.2,11.8
186,fh,M,8.8,62.6
187,gj,F,31.3,17.4
188,lm,F,20.7,2.6
189,fg,M,2.9,75.9
190,ik,F,1.6,0.3
191,el,M,11.3,67.2
192,eb,M,13.7,31.7
193,hg,F,0.4,0.2
194,jb,F,49.6,9.2
195,ga,F,32.6,13.5
196,me,F,59.6,11.9
197,gg,F,1.7,0.5
198,eb,M,21.0,9.04613
199,cj,M,30.942364,10.811319
200,bh,F,1.0,0.7
201,nf,F,49.1,3.1
202,ab,M,0.0,23.8
203,ej,M,68.43158,59.5
204,bd,F,3.0,0.7
205,md,F,3.6,1.0
206,bf,F,31.9,3.0
207,ik,F,0.9,0.4
208,kb,F,46.0179,91.3
209,jc,F,11.2,7.5
210,mk,M,59.7,64.31034
211,ee,M,41.4,36.5
212,gd,M,24.0,37.7
213,cl,F,15.6,1.3
214,fb,M,59.206783,56.53769
215,dh,F,3.8,3.2
216,jf,F,87.9,61.1
217,fj,F,26.8,24.1
218,mf,F,15.8,7.4
219,al,M,27.0,76.6
220,in,M,12.1,30.3
221,ka,F,37.1,15.7
222,hc,M,58.2,73.25862
223,kl,M,52.1,25.9
224,kn,F,28.2,11.8
225,fb,M,0.9,31.992855
226,fh,M,0.3,63.3
227,hd,M,15.3,47.4
228,hh,F,6.4,2.1
229,gj,M,44.7,93.7
230,nk,M,60.6,25.38755
231,gb,F,0.3,0.2
232,bk,M,75.32242,61.04899
233,aj,F,10.0,5.0
234,gf,F,38.1,24.2
235,jc,M,11.8,61.2
236,kd,F,1.8,0.0
237,hb,F,12.0,5.0
238,jh,F,13.8,13.2
239,ci,F,5.7,0.7
240,gg,M,67.2,34.7
241,gk,F,0.1,0.1
242,mj,F,4.9,3.1
243,hl,F,94.7,18.9
244,ae,M,0.5,32.9
245,gh,M,29.6,37.1
246,nm,F,1.5,0.2
247,ca,F,27.5,20.2
248,ci,M,8.2,68.0
249,lc,M,5.7,73.0
250,hg,F,42.5,33.9
251,cm,M,30.9,17.299099
252,ia,F,41.8,10.5
253,ml,F,14.0,8.5
254,gh,F,53.0,40.7
255,dd,M,44.7,57.3
256,ji,F,13.1,5.4
257,ee,F,5.7,4.9
258,hh,F,2.0,0.9
259,ik,F,78.4,9.4
260,bg,M,36.3,69.51845
261,ic,F,7.2,4.8
262,im,M,24.1,59.06537
263,ij,M,9.2,22.0
264,gj,M,79.0,5.6
265,ek,F,8.7,2.1
266,ad,M,5.0,15.2
267,jl,F,13.1,4.5
268,el,F,92.0,62.5
269,ej,M,91.5367,36.2
270,am,F,8.7,3.9
271,ii,M,2.5,24.1
272,kc,M,94.9,50.381325
273,am,M,24.4,41.6
274,lj,M,69.21544,41.2
275,gb,F,20.2,12.5
276,dh,M,36.744667,97.0
277,gb,F,1.8,0.2
278,dn,M,80.3,81.45589
279,el,M,86.2,21.216536
280,ji,F,3.4,1.1
281,me,F,6.1,2.8
282,gk,F,7.6,5.8
283,ca,F,36.7,0.9
284,hg,M,12.2,80.67913
285,bm,M,21.0,78.8
286,hf,M,0.2,30.4
287,ik,M,15.3,47.4
288,ek,F,30.32431,99.38663
289,da,F,4.8,0.9
290,ij,M,48.9,23.328955
291,md,F,6.0,2.1
292,ce,F,5.9,1.5
293,dh,M,1.2,33.7
294,kb,F,12.8,4.3
295,ga,M,10.0,41.2
296,mj,M,1.2745514,7.3
297,cn,M,21.8,20.1
298,nm,M,17.6,61.8
299,hb,M,44.1,92.7
300,bn,F,20.9,13.0
301,kf,M,50.1,60.11013
302,ic,F,33.5,15.1
303,cd,F,13.4,5.8
304,ic,M,6.4,64.5
305,mk,M,3.7,12.5
306,ak,M,26.7,20.2
307,nj,F,34.3,5.1
308,ei,F,0.5,0.2
309,aa,F,10.2,1.6
310,cb,M,69.3,78.6
311,ln,M,0.8,30.0
312,df,M,27.5,36.9
313,mc,F,12.5,10.1
314,de,M,19.9,59.1
315,gb,F,3.3,2.3
316,gl,F,0.9,0.2
317,be,M,11.845243,61.5
318,ca,F,8.8,4.1
319,fe,F,88.6,54.5
320,bk,M,2.8,22.3
321,jk,F,3.7,0.7
322,jg,F,8.2,3.7
323,fb,M,27.7,57.36431
324,id,F,6.4,3.4
325,ld,M,73.0,86.71811
326,il,F,4.5,0.9
327,ba,F,3.6,3.2
328,da,F,27.5,9.6
329,dj,M,26.8,8.870455
330,lj,F,13.5,9.4
331,hd,F,3.8,1.0
332,bf,M,37.762894,34.2
333,md,M,96.9,70.4
334,ed,F,4.0,1.9
335,ca,F,14.4,9.0
336,li,F,13.7,4.5
337,dm,F,3.3,1.8
338,kd,M,1.7,73.1
339,ab,F,9.5,7.1
340,bj,M,1.7,65.4
341,dl,F,2.08664,85.3
342,ni,F,2.2,0.0
343,ie,M,53.3,4.0450606
344,ni,F,12.9,0.9
345,kn,F,11.9,3.5
346,im,F,4.9,3.9
347,kf,M,56.5,24.2
348,he,F,2.2,0.1
349,fa,F,61.1,32.4
350,mk,M,29.1,88.07522
351,hi,F,1.8,0.1
352,mj,M,15.062059,82.7
353,df,F,5.8,5.2
354,ld,M,68.75832,47.2
355,cd,F,5.4,1.7
356,ba,M,4.6,84.6
357,ff,M,21.9,93.2
358,fj,F,26.6,5.7
359,mj,F,3.5,2.6
360,jn,F,16.3,9.9
361,nf,M,38.882217,68.2
362,ek,M,32.8,63.1
363,hj,F,53.6,5.1
364,fh,M,90.5,53.5
365,cc,M,91.85189,36.8
366,ch,M,9.2,45.7
367,ec,M,81.35713,17.858168
368,hf,M,2.9,73.4
369,cn,M,4.5,46.7
370,hh,M,78.8,86.2
371,nb,F,40.5,5.6
372,ii,M,7.0,52.8
373,gh,M,38.524803,11.0
374,bh,M,30.0,4.2
375,cl,M,25.1,51.0
376,cn,M,81.8,24.1
377,cg,M,6.0,58.3
378,gg,F,13.3,4.6
379,hc,F,31.8,3.7
380,ji,F,37.9,30.0
381,da,F,39.5,4.3
382,an,F,45.6,37.6
383,cb,M,5.6,23.6
384,ia,F,3.3,0.2
385,ad,F,4.1,2.8
386,ik,M,0.9,6.4
387,nl,F,0.9,0.4
388,eh,M,62.9,25.2
389,ll,F,0.6,0.4
390,bk,M,10.4,2.6
391,gl,M,5.7,13.9
392,gl,M,78.9,83.5
393,kg,M,10.2,36.9
394,lh,F,11.8,5.4
395,jj,M,50.4,17.091316
396,mk,M,0.7,91.5
397,mc,M,87.0,74.1
398,be,M,98.0,50.025455
399,bf,F,19.7,13.5
400,jg,M,98.2,74.7
401,aj,M,7.2,10.4
402,ik,M,5.4,33.3
403,lf,F,24.8,2.4
404,ha,F,6.4,3.2
405,jd,F,20.7,2.2
406,bf,F,0.6,0.0
407,gc,F,6.4166746,34.4
408,ae,F,0.0,0.0
409,bn,F,8.5,6.0
410,hd,F,11.9,11.4
411,ji,M,13.9,41.99072
412,jc,M,87.8,17.881721
413,kc,M,0.6,60.7
414,gm,M,0.6,16.6
415,lg,M,17.8,16.3
416,ac,F,25.5,8.5
417,ie,M,5.7,60.2
418,kd,M,34.3,66.900154
419,aa,F,2.9,1.4
420,ij,M,52.05227,37.9
421,ba,M,10.7,0.1
422,jm,M,80.3,62.2
423,ce,F,5.0,2.6
424,lg,M,14.3,22.8
425,lb,F,13.8,5.0
426,gk,F,39.6,26.8
427,lf,F,11.0,4.1
428,bf,F,2.8,0.2
429,fe,M,81.8,90.6
430,bf,F,12.5,2.3
431,gn,M,31.2,13.7
432,ea,M,26.5,65.7
433,he,M,44.3,1.2
434,gj,F,0.6,0.3
435,ha,F,43.2,3.0
436,hm,F,17.7,15.7
437,bl,F,59.2,51.4
438,ke,F,15.7,2.5
439,fm,F,21.2,0.5
440,ik,F,0.2,0.0
441,ac,F,7.0,1.4
442,ab,F,16.0,9.4
443,nk,F,1.1,0.8
444,hn,F,5.8,3.5
445,da,M,4.9,38.1
446,hd,M,69.3,90.2
447,aj,F,8.6,3.3
448,ad,F,55.2,26.9
449,cl,M,83.9,64.0
450,hh,M,74.2,49.6
451,ja,M,69.9,91.5
452,ng,F,30.5,26.2
453,db,F,1.0,0.9
454,di,F,8.1,0.6
455,ak,M,7.3,47.1
456,lc,M,20.4,75.4
457,ae,M,28.7,56.6
458,fb,M,12.203782,69.44517
459,if,F,15.0,7.5
460,fl,F,4.0,2.9
461,lm,M,81.5,58.0
462,ic,M,23.5,34.8
463,fd,F,6.9,5.9
464,li,F,17.3,10.8
465,jc,F,56.3,44.4
466,cc,M,63.1,69.1
467,gk,M,22.5,58.3
468,bg,M,22.8,98.2
469,fh,F,3.4,0.6
470,im,M,3.6,51.1
471,ne,F,1.8,1.0
472,ki,M,61.5,81.6
473,kl,F,33.1,15.0
474,ga,M,16.1,85.21974
475,mj,F,3.2,0.4
476,cb,M,10.0,16.5
477,mb,M,96.8,20.9
478,mj,M,1.7,34.8
479,ml,M,32.2,80.3
480,la,M,89.9,95.5
481,fb,M,5.6,13.3
482,nn,M,11.1,60.2
483,ma,F,3.5,1.4
484,cc,F,8.0,4.4
485,nl,M,5.8,37.369987
486,dn,F,7.8,5.0
487,gn,M,85.8,80.2
488,cf,F,0.7,0.3
489,fj,F,2.5,0.5
490,jk,F,0.8,0.1
491,kc,F,0.3,0.1
492,hl,F,1.1,0.4
493,ll,M,72.2,86.5
494,ng,F,1.7,0.2
495,ce,M,45.878082,16.8
496,ie,M,1.7,45.2
497,fh,F,1.4,1.0
498,mj,M,83.26319,11.661974
499,fg,M,27.2,48.4
500,lk,M,3.7,23.9
501,eb,M,27.0,0.37382278
502,dm,F,4.5,3.6
503,dc,F,46.6,32.8
504,ag,M,49.6,79.6
505,lb,F,3.8,2.8
506,ib,F,5.9,1.8
507,mg,F,37.3,11.1
508,ea,F,5.4,2.4
509,li,F,11.7,1.9
510,gf,F,3.8,0.2
511,ln,M,50.955696,54.10539
512,je,M,14.2,40.0
513,gc,M,26.93044,19.037523
514,ee,M,55.1,2.5
515,jk,M,74.71202,77.7
516,be,M,20.8,32.6
517,ba,F,4.8,1.9
518,ij,M,23.9,9.0
519,hh,F,17.7,6.0
520,ne,M,8.8,16.2
521,id,F,15.2,10.0
522,ki,M,71.7,68.4
523,ga,F,15.6,15.2
524,kn,F,0.4,0.3
525,kk,M,81.6,71.4
526,gj,F,0.0,0.0
527,ai,F,1.9,1.0
528,bk,M,43.8,39.6
529,ik,F,42.3,41.4
530,bm,F,4.2,0.3
531,la,F,17.5,6.2
532,fi,F,7.5,5.7
533,ib,M,76.9,1.0462594
534,mg,F,7.0,0.5
535,bg,M,0.4,25.5
536,gg,F,9.6,8.9
537,jd,F,15.2,12.2
538,bm,F,1.6,1.6
539,dc,M,0.5,48.08424
540,mm,F,34.8,11.9
541,jk,M,8.0,35.1
542,nc,M,22.959679,78.3
543,fa,F,5.4,1.3
544,hc,F,52.4,39.9
545,jj,M,18.4,11.0
546,lh,M,0.9,69.7
547,nh,F,17.2,1.9
548,mj,M,60.336414,29.380804
549,cd,M,12.2,46.2
550,dc,M,61.8,38.5
551,dj,F,25.8,17.2
552,ck,M,18.6,8.8
553,na,F,33.3,19.4
554,fa,M,63.3,98.17477
555,na,F,2.8,1.3
556,lf,F,58.7,49.2
557,jc,F,78.4,72.3
558,cm,F,5.2,2.6
559,mi,M,25.7,5.3
560,gn,M,13.563604,98.6
561,dg,M,7.1,29.167372
562,nb,M,34.7,29.9
563,dc,F,5.3,0.7
564,dc,M,8.0,37.3
565,bl,F,3.5,0.7
566,bi,M,65.79259,24.9
567,md,F,27.5,11.7
568,ne,M,2.4,44.0
569,cd,M,3.3,27.8
570,fk,F,17.9,3.7
571,md,F,14.4,2.7
572,bd,F,11.0,3.4
573,nk,F,16.6,8.3
574,ll,F,14.5,4.6
575,jb,F,59.9,24.5
576,nj,M,8.3,71.9
577,ah,M,82.56489,40.2
578,md,M,44.9,63.6
579,ma,F,9.9,4.2
580,ga,M,77.1,82.5
581,bf,M,8.9,50.3
582,jf,F,17.3,14.7
583,lm,F,35.4,21.5
584,dj,M,52.1,87.5
585,bb,F,25.0,18.9
586,jg,M,1.7,68.9
587,lg,F,1.3,0.4
588,he,M,37.9,93.8
589,kh,M,5.5,73.8
590,mg,F,60.7,13.0
591,hk,F,3.4,0.7
592,gf,M,88.8,80.4
593,hd,F,39.3,9.0
594,af,F,2.1,1.4
595,bc,F,0.4,0.0
596,kj,M,0.5,32.4
597,cn,M,23.901863,57.7
598,jl,F,16.5,10.0
599,ha,F,4.5,3.2
600,dc,F,23.2,5.9
601,ah,M,18.8,74.8
602,hh,F,4.9,1.4
603,nf,M,56.5,76.2
604,dd,M,99.8,59.3
605,gm,F,44.9,26.0
606,gk,F,1.9,1.0
607,cd,F,3.0,2.1
608,il,F,15.9,11.0
609,bn,F,3.9,2.8
610,jd,M,62.4,65.1
611,lf,M,8.4,38.0
612,dc,F,3.9,2.2
613,en,F,10.6,10.3
614,ji,M,32.4,8.8
615,ef,F,32.4,2.9
616,jn,F,19.4,15.0
617,kd,M,95.4,2.8
618,ll,F,0.5,0.4
619,fh,F,1.3,0.5
620,kl,M,27.0,20.1
621,nj,F,37.7,11.1
622,hb,F,51.9,0.4
623,kf,F,51.9,28.6
624,ij,M,0.3,3.0
625,kc,M,59.9,91.2
626,al,F,20.2,12.5
627,ii,F,49.2,1.2
628,ii,F,6.5,3.2
629,eh,M,33.5,30.9
630,af,M,50.8,52.0
631,dh,M,1.6473086,82.8
632,ad,F,16.3,0.6
633,ei,M,83.1,97.5
634,lc,M,69.70324,56.911064
635,bk,F,2.5,1.4
636,if,F,29.9,16.2
637,jm,F,1.4,1.3
638,lf,F,14.7,7.0
639,if,M,56.1,69.8
640,db,M,0.1,60.1
641,mi,M,41.5,19.3
642,fc,M,44.676304,65.1
643,kj,M,67.0,67.7
644,cm,M,74.3,17.1
645,ak,M,93.8,86.44651
646,je,F,8.9,5.6
647,ke,M,31.028921,35.4
648,ld,M,4.0,51.4
649,kd,M,8.2,34.2
650,ce,F,71.9,58.6
651,fa,M,40.8,78.3
652,kn,F,13.4,5.1
653,cl,M,92.4,32.6
654,ba,M,50.8,9.1
655,ce,F,8.7,0.9
656,bg,F,19.5,5.4
657,aa,M,30.3,91.8
658,cg,F,14.7,1.9
659,mm,F,10.9,4.7
660,lm,M,3.6303787,45.3
661,hf,F,3.6,1.6
662,mk,F,7.9,1.2
663,eb,M,32.7,95.9
664,ii,M,15.0,97.5
665,gc,M,48.0,3.7
666,hc,M,33.2,83.0
667,hj,M,6.1,17.7
668,fd,M,9.702168,68.0
669,aj,M,59.4,12.7
670,nn,F,46.6,16.6
671,fm,F,9.7,7.0
672,in,F,2.4,0.6
673,hh,M,6.2,97.0
674,bm,F,21.7,10.1
675,hl,M,84.6,11.6
676,nh,M,61.7,75.8
677,al,M,1.8,7.4
678,jd,M,9.4,88.36905
679,mi,F,46.5,16.5
680,ld,M,12.6,36.3
681,ci,F,0.1,0.0
682,dn,F,29.7,5.9
683,bd,M,17.4,13.6
684,mm,F,68.5,52.5
685,lk,M,2.4,94.9
686,ke,F,1.0,0.8
687,gh,F,36.1,5.3
688,ah,F,23.7,5.4
689,dc,F,1.4,0.6
690,ih,F,7.3,0.4
691,ld,M,24.2,12.0
692,ka,F,13.6,5.8
693,af,M,31.9,45.2
694,gc,F,28.9,4.6
695,fk,M,2.8,63.2
696,kc,M,33.0,78.3
697,bm,M,1.5,41.7
698,ah,M,7.3,56.7
699,lm,M,71.6,24.268412
700,ln,M,73.8,69.71587
701,ba,F,10.4,8.7
702,jf,F,6.5,1.2
703,ig,M,73.7,84.4
704,bc,M,9.5,4.1
705,ic,F,3.4,2.6
706,ad,F,13.7,9.1
707,hg,F,6.5,0.3
708,cl,M,5.8,70.8
709,dg,M,6.9,46.0
710,eh,F,33.8,14.8
711,mh,F,2.1,0.7
712,gf,M,9.4,81.6
713,lf,F,6.5,3.2
714,ie,M,48.7,29.8
715,kk,M,20.3,14.7088375
716,hb,M,93.23043,17.9
717,ff,F,11.1,2.1
718,ng,F,23.1,9.4
719,dj,F,30.5,12.3
720,jk,F,67.5,45.4
721,dk,F,32.9,21.8
722,dn,M,87.9,7.941542
723,bj,M,18.7,1.4
724,ec,M,66.9,76.2
725,ed,F,7.1,5.3
726,hb,M,75.2,36.3
727,kf,F,0.3,0.2
728,gi,M,2.0,48.1
729,jb,M,53.7,60.2
730,gh,M,2.4,45.8
731,mh,F,6.1,4.1
732,db,F,28.4,16.2
733,cg,F,43.3,19.4
734,jm,F,12.4,7.6
735,lc,F,10.0,8.8
736,de,M,10.4,58.3
737,ff,M,83.0,14.889561
738,he,M,26.9,9.2
739,ea,F,1.0,0.1
740,ci,M,24.1,0.4
741,cm,F,4.1,2.5
742,ng,F,25.2,14.8
743,id,M,44.5,63.6
744,ed,M,73.8,40.4
745,bj,M,4.9,66.6
746,dc,M,5.5,54.7
747,ka,M,35.72373,91.6
748,md,F,48.1,38.4
749,im,M,13.9,0.7
750,ia,F,24.7,12.1
751,ek,F,5.0,1.1
752,lb,F,6.3,2.1
753,ag,M,6.4,96.6
754,ac,M,8.5,41.6
755,le,F,30.9,5.5
756,kb,F,21.3,2.7
757,ji,F,27.8,11.2
758,bg,M,15.347615,17.094612
759,kj,M,90.0,19.316788
760,nm,F,4.2,2.1
761,lj,M,75.2,66.7
762,nl,F,25.4,7.3
763,eh,F,0.0,0.0
764,nh,F,55.5,27.2
765,lc,M,59.8,91.6
766,nb,M,7.8,61.8
767,je,M,0.8,9.3
768,ic,M,13.2,20.2
769,ei,F,23.2,18.4
770,ii,M,22.6,50.0
771,mg,M,0.5,61.8
772,hc,M,24.8,87.0
773,gn,F,34.2,29.5
774,fi,F,15.5,1.2
775,dl,F,27.7,7.3
776,ed,M,3.1,9.3
777,da,F,1.8,1.0
778,db,M,4.0,34.7
779,hd,M,0.8,41.7
780,ac,M,3.1,9.3
781,gc,M,67.9,24.1
782,hd,M,54.2,3.060135
783,nf,F,5.0,1.7
784,lj,M,2.2,20.4
785,fn,F,13.2,11.5
786,eg,F,5.2,0.8
787,cm,M,84.9,2.101428
788,nk,F,42.4,11.7
789,nd,M,9.1,9.7
790,nc,F,2.1,1.5
791,bk,M,68.5,55.5
792,ag,M,34.2,37.7
793,cl,M,6.1,3.5
794,mj,F,21.0,10.4
795,an,M,2.6,23.1
796,la,F,86.3,52.2
797,nf,M,1.1,7.3
798,he,M,8.9,27.2
799,kd,M,2.6,39.8
800,jd,F,1.0,0.6
801,mg,F,3.7,2.6
802,ch,M,4.0,23.8
803,jm,F,12.4,8.7
804,hj,M,69.3,3.6
805,mh,M,15.0,59.0
806,nh,F,4.0,0.4
807,ha,F,15.2,2.7
808,ef,M,17.9,79.0
809,kl,M,98.3,29.0
810,am,F,1.9,0.9
811,ck,M,71.217995,88.4
812,he,M,10.7,23.1
813,ha,F,5.5,0.2
814,gf,F,8.7,0.3
815,ic,M,0.16671906,56.1
816,gl,F,24.2,22.1
817,li,M,9.1,46.7
818,an,M,50.9,47.0
819,gd,F,3.5,1.1
820,ad,F,19.3,10.4
821,jf,F,4.7,2.4
822,cb,F,23.2,14.0
823,ih,M,1.9,4.5
824,lj,F,6.9,3.0
825,ke,M,41.3,1.8
826,dl,F,36.1,22.4
827,nn,F,54.2,53.2
828,mk,F,0.7,0.2
829,lm,M,28.0,69.60319
830,hb,F,4.1,2.9
831,ih,F,11.9,10.5
832,bf,M,19.7,68.6
833,di,M,5.2,28.6
834,mj,F,0.5,0.1
835,hl,F,2.0,1.4
836,fa,M,29.8,13.5
837,ce,M,11.990333,4.2306542
838,bh,F,0.1,0.0
839,hd,M,87.8,59.620617
840,ni,F,19.4,12.5
841,fl,F,4.9,2.2
842,dl,F,9.0,4.3
843,nf,F,17.5,14.7
844,fd,M,41.6,71.1
845,li,M,34.9893,54.009857
846,ci,F,0.1,0.0
847,jn,F,7.7,4.1
848,kc,M,5.2,13.7
849,ha,M,15.2,55.7
850,bb,M,89.2,17.672668
851,jh,F,55.6,20.1
852,nh,M,87.45752,42.26917
853,mj,M,6.2,9.4
854,im,M,52.9,61.356426
855,gb,M,57.7,11.837847
856,ml,F,4.3,2.1
857,df,F,0.6,0.3
858,be,M,55.3,9.5
859,ij,M,29.7,90.0
860,ln,F,18.0,10.7
861,ji,F,6.9,2.0
862,fg,M,56.3,37.1
863,fc,M,1.1830885,5.7
864,ig,M,13.7,3.7
865,ij,M,4.2,46.2
866,id,M,15.3,90.9
867,bn,F,34.2,1.7
868,jf,F,4.2,2.4
869,dj,F,13.5,10.8
870,ca,M,16.1,4.3
871,ld,F,7.9,0.2
872,jm,F,5.3,2.9
873,el,F,1.3,0.5
874,gh,M,39.9,23.7
875,nf,M,69.1,78.0
876,ab,F,19.5,5.0
877,ib,M,22.6,36.1
878,mn,F,47.8,27.7
879,kn,M,15.2,0.5
880,gb,F,3.3,1.9
881,mn,F,8.1,7.9
882,cj,F,21.4,7.7
883,ic,F,9.2,3.1
884,nk,M,33.4,20.90942
885,dg,M,29.6,54.029476
886,mi,F,32.0,18.0
887,lm,F,63.7,45.7
888,ni,F,6.3,3.0
889,ji,F,6.4,3.2
890,hb,M,1.6,21.1
891,bg,M,95.7,63.96776
892,bi,F,24.9,14.4
893,ic,M,15.2,66.83934
894,jl,M,2.1,40.8
895,jl,F,40.0,1.4
896,de,F,20.2,11.3
897,jg,M,90.5,98.4
898,ia,F,8.8,4.1
899,gd,M,23.7,59.7
900,le,F,0.1,0.1
901,kd,F,4.1,2.0
902,ef,M,15.168654,3.3
903,nd,F,41.2,21.6
904,md,F,4.8,1.5
905,gb,M,7.5,64.8
906,gd,M,19.7,33.8
907,dm,M,3.7,2.5
908,ei,F,18.0,10.5
909,ni,F,96.1,57.0
910,ek,M,32.6,24.932108
911,fm,F,31.3,19.8
912,gj,F,3.2,1.6
913,hc,F,44.8,17.4
914,cn,F,13.0,3.7
915,ch,M,37.0,27.6
916,cl,M,87.3,70.5
917,ei,M,39.5,0.3
918,cc,F,11.1,1.1
919,cf,M,10.1,68.1
920,ng,M,17.5,0.5
921,nb,F,56.5,32.3
922,fa,M,71.1,36.4
923,db,M,32.1,30.8
924,bc,F,0.3,0.3
925,jj,M,18.8,47.7
926,cj,F,2.6,2.0
927,ak,M,26.90127,58.9
